Type,Condition,SNOMED Concept ID,Code Description
National,Learning Disability,1217228004,"X-linked intellectual disability, cerebellar hypoplasia, spondyloepiphyseal dysplasia syndrome (disorder)"
National,Learning Disability,1217229007,"Craniofacial dysplasia, short stature, ectodermal anomalies, intellectual disability syndrome (disorder)"
National,Learning Disability,1220589007,Keppen Lubinsky syndrome (disorder)
National,Learning Disability,1220594007,Pierpont syndrome (disorder)
National,Learning Disability,1220597000,"Retinitis pigmentosa, juvenile cataract, short stature, intellectual disability syndrome (disorder)"
National,Learning Disability,1222656005,Synaptic Ras GTPase activating protein 1-related developmental and epileptic encephalopathy (disorder)
National,Learning Disability,1222657001,Prune exopolyphosphatase 1-related neurological syndrome (disorder)
National,Learning Disability,1222672002,3-methylglutaconic aciduria type 9 (disorder)
National,Learning Disability,1222706005,"Anterior maxillary protrusion, strabismus, intellectual disability syndrome (disorder)"
National,Learning Disability,1222710008,"Neurodevelopmental disorder, craniofacial dysmorphism, cardiac defect, skeletal anomalies syndrome (disorder)"
National,Learning Disability,1228886008,9q33.3q34.11 microdeletion syndrome (disorder)
National,Learning Disability,1229873009,17q24.2 microdeletion syndrome (disorder)
National,Learning Disability,1229875002,9q21.13 microdeletion syndrome (disorder)
National,Learning Disability,1229891004,20q11.2 microdeletion syndrome (disorder)
National,Learning Disability,1229895008,8q24.3 microdeletion syndrome (disorder)
National,Learning Disability,1229946007,MAGE family member L2-related Prader-Willi-like syndrome (disorder)
National,Learning Disability,1230376005,Contactin associated protein 2-related developmental and epileptic encephalopathy (disorder)
National,Learning Disability,508171000000105,Severe learning disability (disorder)
National,Learning Disability,984661000000105,Mild learning disability (disorder)
National,Learning Disability,984671000000103,Moderate learning disability (disorder)
National,Learning Disability,984681000000101,Profound learning disability (disorder)
National,Learning Disability,1089701000000100,Profound intellectual development disorder without impairment of behaviour (disorder)
National,Learning Disability,1089711000000100,Profound intellectual development disorder with significant impairment of behaviour (disorder)
National,Learning Disability,1089721000000100,Profound intellectual development disorder with minimal impairment of behaviour (disorder)
National,Learning Disability,1089731000000100,Profound intellectual development disorder with impairment of behaviour (disorder)
National,Learning Disability,1089741000000100,Severe intellectual development disorder without significant impairment of behaviour (disorder)
National,Learning Disability,1089751000000100,Severe intellectual development disorder with significant impairment of behaviour (disorder)
National,Learning Disability,1089761000000100,Severe intellectual development disorder with minimal impairment of behaviour (disorder)
National,Learning Disability,1089771000000100,Severe intellectual development disorder with impairment of behaviour (disorder)
National,Learning Disability,1089781000000100,Moderate intellectual development disorder without significant impairment of behaviour (disorder)
National,Learning Disability,1089791000000100,Moderate intellectual development disorder with significant impairment of behaviour (disorder)
National,Learning Disability,1089811000000100,Moderate intellectual development disorder with minimal impairment of behaviour (disorder)
National,Learning Disability,1089821000000100,Moderate intellectual development disorder with impairment of behaviour (disorder)
National,Learning Disability,1089831000000100,Mild intellectual development disorder without significant impairment of behaviour (disorder)
National,Learning Disability,1089841000000100,Mild intellectual development disorder with significant impairment of behaviour (disorder)
National,Learning Disability,1089851000000100,Mild intellectual development disorder with minimal impairment of behaviour (disorder)
National,Learning Disability,1093991000000100,Mild intellectual development disorder with impairment of behaviour (disorder)
National,Learning Disability,1094001000000100,Intellectual development disorder without significant impairment of behaviour (disorder)
National,Learning Disability,1094011000000100,Intellectual development disorder with significant impairment of behaviour (disorder)
National,Learning Disability,1094021000000100,Intellectual development disorder with minimal impairment of behaviour (disorder)
National,Learning Disability,1094031000000100,Intellectual development disorder with impairment of behaviour (disorder)
National,Learning Disability,1239331000000100,Significant intellectual disability (disorder)
National,Stroke,7713009,Intrapontine hemorrhage (disorder)
National,Stroke,14309005,Anterior choroidal artery syndrome (disorder)
National,Stroke,20059004,Occlusion of cerebral artery (disorder)
National,Stroke,20908003,Subcortical cerebral hemorrhage (disorder)
National,Stroke,24654003,Weber-Gubler syndrome (disorder)
National,Stroke,25133001,Completed stroke (disorder)
National,Stroke,49422009,Cortical hemorrhage (disorder)
National,Stroke,52201006,Internal capsule hemorrhage (disorder)
National,Stroke,56267009,Multi-infarct dementia (disorder)
National,Stroke,57981008,Progressing stroke (disorder)
National,Stroke,71444005,Cerebral arterial thrombosis (disorder)
National,Stroke,75038005,Cerebellar hemorrhage (disorder)
National,Stroke,75543006,Cerebral embolism (disorder)
National,Stroke,78569004,Posterior inferior cerebellar artery syndrome (disorder)
National,Stroke,87555007,Claude's syndrome (disorder)
National,Stroke,95454007,Brain stem hemorrhage (disorder)
National,Stroke,95457000,Brain stem infarction (disorder)
National,Stroke,95460007,Cerebellar infarction (disorder)
National,Stroke,111297002,Nonparalytic stroke (disorder)
National,Stroke,116288000,Paralytic stroke (disorder)
National,Stroke,195165005,Basal ganglia hemorrhage (disorder)
National,Stroke,195167002,External capsule hemorrhage (disorder)
National,Stroke,195168007,Intracerebral hemorrhage with intraventricular hemorrhage (disorder)
National,Stroke,195169004,"Intracerebral hemorrhage, multiple localized (disorder)"
National,Stroke,195185009,Cerebral infarct due to thrombosis of precerebral arteries (disorder)
National,Stroke,195186005,Cerebral infarction due to embolism of precerebral arteries (disorder)
National,Stroke,195189003,Cerebral infarction due to thrombosis of cerebral arteries (disorder)
National,Stroke,195190007,Cerebral infarction due to embolism of cerebral arteries (disorder)
National,Stroke,195209007,Middle cerebral artery syndrome (disorder)
National,Stroke,195210002,Anterior cerebral artery syndrome (disorder)
National,Stroke,195211003,Posterior cerebral artery syndrome (disorder)
National,Stroke,195212005,Brainstem stroke syndrome (disorder)
National,Stroke,195213000,Cerebellar stroke syndrome (disorder)
National,Stroke,195216008,Left sided cerebral hemisphere cerebrovascular accident (disorder)
National,Stroke,195217004,Right sided cerebral hemisphere cerebrovascular accident (disorder)
National,Stroke,195230003,"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic (disorder)"
National,Stroke,230518009,Infarction of optic tract (disorder)
National,Stroke,230523009,Infarction of optic radiation (disorder)
National,Stroke,230690007,Cerebrovascular accident (disorder)
National,Stroke,230691006,Cerebrovascular accident due to occlusion of cerebral artery (disorder)
National,Stroke,230692004,Infarction - precerebral (disorder)
National,Stroke,230693009,Anterior cerebral circulation infarction (disorder)
National,Stroke,230694003,Total anterior cerebral circulation infarction (disorder)
National,Stroke,230695002,Partial anterior cerebral circulation infarction (disorder)
National,Stroke,230696001,Posterior cerebral circulation infarction (disorder)
National,Stroke,230698000,Lacunar infarction (disorder)
National,Stroke,230699008,Pure motor lacunar infarction (disorder)
National,Stroke,230700009,Pure sensory lacunar infarction (disorder)
National,Stroke,230701008,Pure sensorimotor lacunar infarction (disorder)
National,Stroke,230702001,Lacunar ataxic hemiparesis (disorder)
National,Stroke,230703006,Dysarthria-clumsy hand syndrome (disorder)
National,Stroke,230706003,Hemorrhagic cerebral infarction (disorder)
National,Stroke,230707007,Anterior cerebral circulation hemorrhagic infarction (disorder)
National,Stroke,230708002,Posterior cerebral circulation hemorrhagic infarction (disorder)
National,Stroke,230709005,Massive supratentorial cerebral hemorrhage (disorder)
National,Stroke,230710000,Lobar cerebral hemorrhage (disorder)
National,Stroke,230711001,Thalamic hemorrhage (disorder)
National,Stroke,230712008,Lacunar hemorrhage (disorder)
National,Stroke,230713003,Stroke of uncertain pathology (disorder)
National,Stroke,230714009,Anterior circulation stroke of uncertain pathology (disorder)
National,Stroke,230715005,Posterior circulation stroke of uncertain pathology (disorder)
National,Stroke,274100004,Cerebral hemorrhage (disorder)
National,Stroke,275434003,Stroke in the puerperium (disorder)
National,Stroke,276219001,Occipital cerebral infarction (disorder)
National,Stroke,276220007,Foville syndrome (disorder)
National,Stroke,276221006,Millard-Gubler syndrome (disorder)
National,Stroke,276222004,Top of basilar syndrome (disorder)
National,Stroke,276722003,Intracerebellar and posterior fossa hemorrhage (disorder)
National,Stroke,281240008,Extension of cerebrovascular accident (disorder)
National,Stroke,297138001,Embolus of circle of Willis (disorder)
National,Stroke,302902003,Infarction of optic chiasm (disorder)
National,Stroke,302904002,Infarction of visual cortex (disorder)
National,Stroke,307363008,Multiple lacunar infarcts (disorder)
National,Stroke,307766002,Left sided cerebral infarction (disorder)
National,Stroke,307767006,Right sided cerebral infarction (disorder)
National,Stroke,371040005,Thrombotic stroke (disorder)
National,Stroke,371041009,Embolic stroke (disorder)
National,Stroke,373606000,Occlusive stroke (disorder)
National,Stroke,413102000,Infarction of basal ganglia (disorder)
National,Stroke,413758000,Cardioembolic stroke (disorder)
National,Stroke,422504002,Ischemic stroke (disorder)
National,Stroke,426107000,Acute lacunar infarction (disorder)
National,Stroke,426983002,Infarction of medulla oblongata (disorder)
National,Stroke,432504007,Cerebral infarction (disorder)
National,Stroke,444657001,Superior cerebellar artery syndrome (disorder)
National,Stroke,723082006,Silent cerebral infarct (disorder)
National,Stroke,724424009,Cerebral ischemic stroke due to small artery occlusion (disorder)
National,Stroke,724429004,Stroke co-occurrent with migraine (disorder)
National,Stroke,732923001,Hemorrhage of medulla oblongata (disorder)
National,Stroke,734383005,Thrombosis of left middle cerebral artery (disorder)
National,Stroke,734384004,Thrombosis of right middle cerebral artery (disorder)
National,Stroke,734961002,Embolus of left posterior cerebral artery (disorder)
National,Stroke,734963004,Embolus of right posterior cerebral artery (disorder)
National,Stroke,734964005,Embolus of left middle cerebral artery (disorder)
National,Stroke,734965006,Embolus of right middle cerebral artery (disorder)
National,Stroke,762629007,Occlusion of right middle cerebral artery by embolus (disorder)
National,Stroke,762630002,Occlusion of left middle cerebral artery by embolus (disorder)
National,Stroke,762651004,Occlusion of right posterior cerebral artery by embolus (disorder)
National,Stroke,762652006,Occlusion of left posterior cerebral artery by embolus (disorder)
National,Stroke,788455001,Occlusion of bilateral pontine arteries (disorder)
National,Stroke,788880006,Cerebral ischemic stroke due to dissection of artery (disorder)
National,Stroke,788881005,Cerebral ischemic stroke due to aortic arch embolism (disorder)
National,Stroke,788882003,Cerebral ischemic stroke due to global hypoperfusion with watershed infarct (disorder)
National,Stroke,788883008,Cerebral ischemic stroke due to hypercoagulable state (disorder)
National,Stroke,788884002,Cerebral ischemic stroke due to subarachnoid hemorrhage (disorder)
National,Stroke,870544005,Occlusion of distal basilar artery (disorder)
National,Stroke,870579007,Occlusion of branch of basilar artery (disorder)
National,Stroke,1153543002,Occlusion of anterior cerebral artery (disorder)
National,Stroke,1153544008,Occlusion of right anterior cerebral artery (disorder)
National,Stroke,1153545009,Occlusion of left anterior cerebral artery (disorder)
National,Stroke,1153546005,Occlusion of bilateral posterior cerebral arteries (disorder)
National,Stroke,1153607003,Occlusion of right posterior communicating artery (disorder)
National,Stroke,1153608008,Occlusion of left posterior communicating artery (disorder)
National,Stroke,1153611009,Embolism of left anterior cerebral artery (disorder)
National,Stroke,1153612002,Embolism of right anterior cerebral artery (disorder)
National,Stroke,1153630009,Embolism of left carotid artery (disorder)
National,Stroke,1153631008,Embolism of right carotid artery (disorder)
National,Stroke,1153632001,Embolism of bilateral middle cerebral arteries (disorder)
National,Stroke,1153633006,Embolism of bilateral posterior cerebral arteries (disorder)
National,Stroke,1153634000,Embolism of bilateral anterior cerebral arteries (disorder)
National,Stroke,1153638002,Occlusion of bilateral cerebellar arteries (disorder)
National,Stroke,1155688007,Embolism of bilateral carotid arteries (disorder)
National,Stroke,1155689004,Embolism of bilateral cerebellar arteries (disorder)
National,Stroke,1155697006,Embolism of left vertebral artery (disorder)
National,Stroke,1155698001,Embolism of right vertebral artery (disorder)
National,Stroke,1155699009,Embolism of bilateral vertebral arteries (disorder)
National,Stroke,1156016006,Thrombosis of left posterior cerebral artery (disorder)
National,Stroke,1156017002,Thrombosis of right posterior cerebral artery (disorder)
National,Stroke,1156018007,Thrombosis of left cerebellar artery (disorder)
National,Stroke,1156019004,Thrombosis of right cerebellar artery (disorder)
National,Stroke,1156027008,Thrombus of dural sinus in pregnancy (disorder)
National,Stroke,1156029006,Thrombus of dural sinus in puerperium (disorder)
National,Stroke,1163482004,Hemorrhagic cerebral infarction caused by Aspergillus (disorder)
National,Stroke,1179360000,Fetal epilepsy due to perinatal stroke (disorder)
National,Stroke,1197363004,Pediatric arterial ischemic stroke (disorder)
National,Stroke,1204189004,Asymptomatic occlusion of intracranial vertebral artery (disorder)
National,Stroke,1204202004,Occlusion of cerebral artery due to infection (disorder)
National,Stroke,1231168008,Malignant middle cerebral artery syndrome (disorder)
National,Stroke,5571000124103,Cerebrovascular accident with intracranial hemorrhage (disorder)
National,Stroke,99451000119105,Cerebral infarction due to stenosis of carotid artery (disorder)
National,Stroke,125081000119106,Cerebral infarction due to occlusion of precerebral artery (disorder)
National,Stroke,140921000119102,Ischemic stroke without coma (disorder)
National,Stroke,290641000119107,Dysphagia due to and following non-traumatic intracerebral hemorrhage (disorder)
National,Stroke,291511000119103,Spontaneous hemorrhage of deep cerebral hemisphere (disorder)
National,Stroke,291521000119105,Spontaneous hemorrhage of cortical intracerebral hemisphere (disorder)
National,Stroke,291531000119108,Spontaneous hemorrhage of cerebral hemisphere (disorder)
National,Stroke,291541000119104,Spontaneous hemorrhage of brain stem (disorder)
National,Stroke,292851000119109,Lacunar ataxic hemiparesis of right dominant side (disorder)
National,Stroke,292861000119106,Lacunar ataxic hemiparesis of left dominant side (disorder)
National,Stroke,329361000119107,Cerebrovascular accident due to occlusion of right middle cerebral artery by embolus (disorder)
National,Stroke,329371000119101,Cerebrovascular accident due to occlusion of left middle cerebral artery by embolus (disorder)
National,Stroke,329421000119107,Cerebrovascular accident due to occlusion of right posterior cerebral artery by embolus (disorder)
National,Stroke,329431000119105,Cerebrovascular accident due to occlusion of left posterior cerebral artery by embolus (disorder)
National,Stroke,329451000119104,Cerebrovascular accident due to occlusion of right cerebellar artery by embolus (disorder)
National,Stroke,329461000119102,Cerebrovascular accident due to occlusion of left cerebellar artery by embolus (disorder)
National,Stroke,329481000119106,Occlusion of right middle cerebral artery (disorder)
National,Stroke,329491000119109,Occlusion of left middle cerebral artery (disorder)
National,Stroke,329501000119102,Occlusion of bilateral middle cerebral arteries (disorder)
National,Stroke,329541000119100,Occlusion of bilateral anterior cerebral arteries (disorder)
National,Stroke,329561000119101,Occlusion of right posterior cerebral artery (disorder)
National,Stroke,329571000119107,Occlusion of left posterior cerebral artery (disorder)
National,Stroke,329641000119104,Cerebrovascular accident due to thrombus of basilar artery (disorder)
National,Stroke,329651000119102,Cerebrovascular accident due to thrombus of right carotid artery (disorder)
National,Stroke,330411000119109,Lacunar ataxic hemiparesis of left nondominant side (disorder)
National,Stroke,330421000119102,Lacunar ataxic hemiparesis of right nondominant side (disorder)
National,Stroke,330791000119108,Cerebrovascular accident due to thrombus of left carotid artery (disorder)
National,Stroke,1078001000000100,Haemorrhagic stroke (disorder)
National,Stroke,1089411000000100,Cerebral infarction due to occlusion of cerebral artery (disorder)
National,Stroke,1089421000000100,Cerebral infarction due to stenosis of cerebral artery (disorder)
National,Stroke,15978431000119100,Thrombosis of right vertebral artery (disorder)
National,Stroke,16000351000119100,Cerebrovascular accident due to occlusion of left posterior cerebral artery (disorder)
National,Stroke,16000391000119100,Cerebrovascular accident due to occlusion of right posterior cerebral artery (disorder)
National,Stroke,16000431000119100,Cerebrovascular accident due to occlusion of right middle cerebral artery (disorder)
National,Stroke,16000511000119100,Cerebrovascular accident due to occlusion of left middle cerebral artery (disorder)
National,Stroke,16002031000119100,Cerebrovascular accident due to thrombus of right middle cerebral artery (disorder)
National,Stroke,16002111000119100,Cerebrovascular accident due to thrombus of left middle cerebral artery (disorder)
National,Stroke,16023911000119100,Cerebrovascular accident due to occlusion of right carotid artery (disorder)
National,Stroke,16024111000119100,Cerebrovascular accident due to occlusion of left carotid artery (disorder)
National,Stroke,16024151000119100,Cerebrovascular accident due to occlusion of left cerebellar artery (disorder)
National,Stroke,16024271000119100,Cerebrovascular accident due to occlusion of right cerebellar artery (disorder)
National,Stroke,16026951000119100,Cerebrovascular accident due to stenosis of right carotid artery (disorder)
National,Stroke,16026991000119100,Cerebrovascular accident due to stenosis of left carotid artery (disorder)
National,Stroke,16218291000119100,Acute cerebral ischemia (disorder)
National,Stroke,16371781000119100,Cerebellar stroke (disorder)
National,Stroke,16644681000119100,Cerebrovascular accident due to occlusion of bilateral pontine arteries (disorder)
National,Stroke,16661931000119100,Cerebrovascular accident due to stenosis of bilateral vertebral arteries (disorder)
National,Stroke,16661971000119100,Cerebrovascular accident due to stenosis of bilateral carotid arteries (disorder)
National,Stroke,16891111000119100,Cryptogenic stroke (disorder)
National,Stroke,16896851000119100,History of embolic cerebrovascular accident (situation)
National,Stroke,16896891000119100,History of cerebrovascular accident due to ischemia (situation)
National,Stroke,38595071000119100,Cerebrovascular accident due to thrombosis of right posterior cerebral artery (disorder)
National,Stroke,58173271000119100,Cerebrovascular accident due to embolism of bilateral cerebellar arteries (disorder)
National,Stroke,86553761000119100,Cerebrovascular accident due to occlusion of bilateral posterior cerebral arteries (disorder)
National,Stroke,107557061000119000,Cerebrovascular accident due to embolism of bilateral anterior cerebral arteries (disorder)
National,Stroke,117776611000119000,Cerebrovascular accident due to occlusion of left posterior communicating artery (disorder)
National,Stroke,152148641000119000,Cerebrovascular accident due to embolism of bilateral carotid arteries (disorder)
National,Stroke,168747591000119000,Cerebrovascular accident due to embolism of bilateral posterior cerebral arteries (disorder)
National,Stroke,182960891000119000,Cerebrovascular accident due to occlusion of left anterior cerebral artery (disorder)
National,Stroke,188174841000119000,Cerebrovascular accident due to occlusion of bilateral middle cerebral arteries (disorder)
National,Stroke,239965291000119000,Cerebrovascular accident due to occlusion of basilar artery (disorder)
National,Stroke,251770561000119000,Cerebrovascular accident due to embolism of left anterior cerebral artery (disorder)
National,Stroke,346674811000119000,Cerebrovascular accident due to occlusion of bilateral cerebellar arteries (disorder)
National,Stroke,384430101000119000,Cerebrovascular accident due to embolism of right carotid artery (disorder)
National,Stroke,496369931000119000,Cerebrovascular accident due to thrombosis of right cerebellar artery (disorder)
National,Stroke,511452481000119000,Cerebrovascular accident due to thrombosis of right vertebral artery (disorder)
National,Stroke,517253051000119000,Cerebrovascular accident due to embolism of left vertebral artery (disorder)
National,Stroke,595899961000119000,Cerebrovascular accident of basal ganglia (disorder)
National,Stroke,652287331000119000,Cerebrovascular accident of brainstem (disorder)
National,Stroke,655081461000119000,Cerebrovascular accident due to occlusion of right anterior cerebral artery (disorder)
National,Stroke,720261501000119000,Cerebrovascular accident due to occlusion of bilateral anterior cerebral arteries (disorder)
National,Stroke,732330391000119000,Cerebrovascular accident due to embolism of bilateral vertebral arteries (disorder)
National,Stroke,759950981000119000,Cerebrovascular accident due to thrombosis of left vertebral artery (disorder)
National,Stroke,769023031000119000,Cerebrovascular accident of thalamus (disorder)
National,Stroke,806161651000119000,Cerebrovascular accident due to embolism of right vertebral artery (disorder)
National,Stroke,849488701000119000,Cerebrovascular accident due to embolism of right anterior cerebral artery (disorder)
National,Stroke,849579281000119000,Cerebrovascular accident due to occlusion of right posterior communicating artery (disorder)
National,Stroke,851365731000119000,Cerebrovascular accident due to thrombosis of left posterior cerebral artery (disorder)
National,Stroke,859422751000119000,Cerebrovascular accident due to embolism of left carotid artery (disorder)
National,Stroke,881694631000119000,Cerebrovascular accident of medulla oblongata (disorder)
National,Stroke,898941951000119000,Cerebrovascular accident due to occlusion of bilateral vertebral arteries (disorder)
National,Stroke,915141931000119000,Cerebrovascular accident due to embolism of basilar artery (disorder)
National,Stroke,939885431000119000,Cerebrovascular accident due to embolism of bilateral middle cerebral arteries (disorder)
National,Stroke,957319791000119000,Cerebrovascular accident due to thrombosis of left cerebellar artery (disorder)
National,TIA,15258001,Subclavian steal syndrome (disorder)
National,TIA,34781003,Vertebral artery syndrome (disorder)
National,TIA,64009001,Basilar artery syndrome (disorder)
National,TIA,161511000,History of transient ischemic attack (situation)
National,TIA,195199008,Vertebrobasilar artery syndrome (disorder)
National,TIA,195200006,Carotid artery syndrome hemispheric (disorder)
National,TIA,195205001,Impending cerebral ischemia (disorder)
National,TIA,195206000,Intermittent cerebral ischemia (disorder)
National,TIA,230716006,Carotid territory transient ischemic attack (disorder)
National,TIA,230717002,Vertebrobasilar territory transient ischemic attack (disorder)
National,TIA,266257000,Transient ischemic attack (disorder)
National,TIA,426814001,Transient cerebral ischemia due to atrial fibrillation (disorder)
National,TIA,444172003,Recurrent transient cerebral ischemic attack (disorder)
National,TIA,1208871009,Transient ischemic attack co-occurrent with subarachnoid hemorrhage (disorder)
National,TIA,16218291000119100,Acute cerebral ischemia (disorder)
